title,eventTimestamp,location,attendeeCount,tags,description
The Great Spring Picnic of 2025,2025-04-19T19:00:35+00:00,,,"['Product', 'Marketing', 'Design', 'Sales & BD', 'Finance', 'Strategy', 'Founder', 'Investor', 'Strategy & Business Operations', 'Business Operations', 'Venture Capital', 'Data Science', 'Business Intelligence', 'Content', 'Legal', 'Business Integrity / Trust & Safety', 'Public Policy', 'Project Management', 'People & HR', 'Finance & Accounting']","✨ Inviting you to our GREAT SPRING PICNIC ✨

we hit 1,700 rsvps across all the invites, hope to see you all! 🫶

🌸 The Great Picnic Series is SO BACK—we’re celebrating by running back our signature 1,000+ person picnic this spring (this is picnic #7). Brought to you by the Great Picnic Planners :) 🌸

You should come if you want to:
🥰 Meet new and old friends
🌤️ Enjoy ~65F weather under the sun
😎 Have a great time!

🗽We have always loved bringing people together ~ new & old ~ and the past great picnics have brought together thousands from random encounters, board game nights, house parties, and other picnics

THE DETAILS:
☀️ This is a super chill picnic among friends—feel free to invite anyone who brings good energy!
🏷️ We’ll have nametags for everyone
🍦 First ~300 people will get a surprise treat
🧺 Please bring picnic blankets, food, drinks, games, dogs, cats etc.
🗺️ We’ll send the exact location in Sheeps Meadow the day of (shouldn’t be hard to spot us, look for a massive group!)

FOLLOW US ON SOCIALS:
📩 
instagram.com/richardsgamesnyc
 - follow to join Richard's NYC scavenger hunts this May
📩 
youtube.com/@richardsgamesnyc
 - subscribe to play in Richard's NYC themed Gameshow
📩 
onceuponatimeinny.com
 / @angelica.1__ (ig)- visit Angelica's website for unique NYC gems & date ideas
📩 
instagram.com/circlebacknyc
 - follow to join Brian's social club!

🧺 After the picnic, don’t let the good vibes end — Come deepen the friendships you made at the official afterparty (link in chat)

Can’t wait to see you there 🫶"
Founders Cohort – Weekly Founders/Builders Dinner - Apr 18,2025-04-18T22:00:00+00:00,,,"['C-Level', 'Founder', 'Community', 'Communities', 'Food and Beverage', 'Restaurants']","​Startups are hard. They keep us busy, isolated, and constantly pushing forward. But at the earliest stages, relationships matter most. Since we all have to eat, let’s break bread together and build a founder and builders community that helps each other grow and get to market.
​
​Join us for a casual dinner with fellow founders and builders(tech and creative!). No pitches, no agendas—just good food, good people, and the kind of conversations that only happen when ambitious minds come together.

🔹 
Connect Over Dinner
 – Share a meal, swap stories, and build relationships beyond transactional networking.
🔹 
Founder & Builder Conversations
 – Whether you’re tackling your latest challenge, bouncing ideas, or just getting to know others on the same journey, you’ll be surrounded by people who get it.
🔹 
A Community-First Atmosphere
 – No pressure, no expectations—just a space to unwind, talk, and be part of a growing founder community.
Come for the food, stay for the people, and leave with real connections that make the founder journey a little less lonely.

About Cohort – A Community for Builders
Cohort is a community of founders and builders focused on bringing SF’s builder-first culture to NYC. Instead of the city’s usual hustle-and-networking dynamic, we’re creating an environment where founders work side by side, challenge each other, and build momentum together.

As Paul Graham wrote:
“Ambitious people are rare… when you take people like this and put them together with other ambitious people, they bloom like dying plants given water.”

We’re starting with regular founder meetups, coworking sessions, and dinners—simple but effective ways to build meaningful relationships while making progress.

Over time, we’ll expand to more events designed to encourage deeper conversations, shared learning, and real collaboration.

Join us and help build the founder community NYC deserves."
Cowork for Creatives/Founders/WFH,2025-04-18T13:00:00+00:00,,,"['Community', 'Coworking', 'Content Creators', 'Creative', 'Founder']","Whether you're a creative, founder, freelancer, or working from home — you don’t have to do it alone. Join a community of ambitious minds for a productive day of coworking, collaboration, and casual networking.

✅ Come and go anytime between 10 AM - 5 PM
✅ Bring your laptop, passion projects, or business tasks
✅ Connect, create, and get inspired
💡 
Why join?
Break free from isolation
Build genuine connections
Stay productive in an inspiring environment
Share ideas and get feedback
Post-work hangouts (optional!)

www.instagram.com/coworkandchill

See you!"
Women in Tech Gather Mixer,2025-04-17T23:00:00+00:00,,,[],"Join Tech Gather NYC for our April Women in Tech mixer!

As always, this is an awesome opportunity to connect and vibe with women from all corners of the tech universe, whether you’re a developer, founder, product or anything in between, you belong in our [she, her, they] array.

Sign up now to meet like-minded women, share stories, and spark new collaborations.
"
Leo Bar Happy Hour: In partnership with Australian Women in New York,2025-04-17T21:30:00+00:00,,,"['happy hour', 'museum']","Enjoy free Museum admission and guided tours, drink specials, and more in Asia Society's gorgeous Garden Court at Leo Bar! AsiaStore will be open and all attendees can get 10% off their purchases. The exhibitions on view include:

(Re)Generations: Rina Banerjee, Byron Kim, and Howardena Pindell amid the Mr. and Mrs. John D. Rockefeller 3rd Collection

Imperial Treasures: Chinese Ceramics of the Yuan and Ming Dynasties from the Mr. and Mrs. John D. Rockefeller 3rd Collection

Yang Fudong: Seven Intellectuals in a Bamboo Forest

Hiraki Sawa: Journeys in Place

Also on view: 
Works by Marcos Kueh, Yoko Ono, and Ai Weiwei

Registration to Leo Bar include free museum admission and one drink.  The event is 21+.

In partnership with Australian Women in New York (AWNY)."
Pitches and Pints: Startup Demo Showcase,2025-04-17T21:00:00+00:00,,,"['Founder', 'Professional Networking', 'Venture Capital', 'Social Entrepreneurship']","Startup Grind is the world’s largest community of startups, founders, innovators and creators. We help startups get the education and opportunities they need to build, grow, and scale their companies.

We're bringing back low-pressure pitch events for early-stage startups that need to get their ideas out into the world and hear constructive feedback from fellow founders in the trenches.

Register free here on Supermomos. 
This is your chance to see the newest startups coming out of the NYC ecosystem.
 
You're getting a first look at fresh ideas -- sometimes even before VCs have seen them!

🍸 TICKET INCLUDES HAPPY HOUR DRINKS

📅 Date: Thursday, April 17th
🕓 Time: 5:00 PM - 7:30 PM
📍 Venue: The Yard: Herald Square
📑 Founders: 
Sign up here
 to pitch at an upcoming event

AGENDA
5:00 PM: Happy Hour at The Yard
6:00 PM: Startup Pitches and Audience Q&A
7:00 PM: Networking with founders

This is not a competition -- it's an opportunity for founders to showcase their projects, exchange insights, and receive constructive feedback from founder peers.

PITCH FORMAT
Pitch - 5 minutes
Audience Q&A - 5 minutes

Learn more about our full event lineup at:
http://startupgrind.com/new-york-city"
"Guide to Buy NYC Condo, Coop and House (Pier 57 - Daffodil Classroom)",2025-04-16T22:30:00+00:00,,,"['Investor', 'Real Estate', 'Real Estate Investment']","Agenda:
1. Financial Benefits of RE Investment
2. NYC Market Trends
3. Buying Process Overview
4. Co-op vs. Condo vs. House"
After Hours with Cornell Tech Founders,2025-04-16T22:00:00+00:00,,,"['Founder', 'Software Engineering', 'Product']","Join us for an exclusive opportunity to meet this year's Cornell Tech Startup Studio founders, before they take the big stage to pitch their companies at Cornell Tech's Open Studio in May! 🚀

This invite-only event presented by the Cornell Tech Alumni Council is specifically designed for founders in the Cornell alumni community to exchange ideas, share insights, and welcome the next generation of Cornell Tech founders in a relaxed yet vibrant setting.

Don't miss this chance to forge stronger bonds with like-minded Cornell founders in the heart of NYC. Attendance is by approval or invite-only. RSVP now to secure your spot!

🍻 Please note: this event will have a cash bar. All attendees must be 21+.

–––
🎈 Hosted by: Cornell Tech Alumni Council
📸 Photos from our last event, Tech Alumni Mixer with Cornell & NYU! (©Creighton: Courtesy of NYU Photo Bureau)"
Founders Support Potluck Lunch + Co-working Day - Apr 16,2025-04-16T16:00:00+00:00,,,"['Strategy', 'C-Level', 'Founder', 'Communities', 'Community', 'Coworking', 'Product']","CALLING ALL FOUNDERS TO SHOW UP TO WORK
To celebrate the 2-month anniversary of Founders Support Group and COHORT at Civic Hall, we’ll be organising a 
special day-long co-working event
.

For those who are on trial memberships at Civic Hall, we’re asking you to 
show up to co-work today
 to show Civic Hall how important the space is for us. On top of that, 
bring a co-working buddy
 (who hasn’t signed up for a membership yet) and get our
 limited-edition COHORT sticker
 while stocks last!

1200HRS
: For lunch, we’ll be organising a special edition of Brown Bag Lunch, potluck style. 
Bring a bite to share.

1600HRS
: To close off the day, we’ll be holding our weekly planning session, capped with the 
reveal of our first website
. Stick around to 
network with other community-builders
 and help us 
brainstorm ideas for the future of COHORT
.

WHAT IS BROWN BAG LUNCH?

Do you ever feel like a plastic bag? Drifting through the wind? It's because you're a start-up founder.
​This weekly Brown Bag lunch at Civic Hall is for early-stage founders 
to share a meal (bring your own)
, and
 trade war stories and tip
s.
​Does lunchtime remind you of high school, sitting in the toilet cubicle with a your packed lunch and no surface to put your juice pack? We have tables! And lively conversations.
​🔹 
Bring a war story
—that's right, leave no founder trauma at the door.
​🔹 
Or just bring your ears (and your own food)
—hear the challenges of other solo founders and what they did to win the day.
​🔹 
Weekly guests
—who are better than the rest of us because they've actually succeeded, and taken that sweet, sweet VC money. Or actually just more interesting and attractive.
​🔹 
Co-working Space
—optionally, stay on after for our regular co-working session at Civic Hall. Real estate is expensive and the wifi here is free.
------
About Cohort – A Community for Builders
Cohort is 
a new community inspired by SF’s builder-first culture
, offering founders a deeper, more meaningful alternative to NYC’s hustle and networking scene.

​NYC has some of the most ambitious people in the world, but too often, the startup scene feels transactional. The best founder ecosystems emerge when people build together, 
challenge each other, and create momentum as a group
.

​As Paul Graham wrote:
​
“Ambitious people are rare… when you take people like this and put them together with other ambitious people, they bloom like dying plants given water.”
​We’re building an environment where founders work side by side, form real relationships, and accelerate each other’s progress.
​
We’re starting with 
weekly coworking sessions
—a simple but effective way to stay focused while building meaningful connections. Over time, we’ll expand to both social and building focused events designed to foster deeper conversations and shared learning—moving beyond networking to create a 
true community of builders
."
Bachata class & social - all levels,2025-04-15T23:30:20+00:00,,,"['Dancing', 'Bachata', 'Vibe']","Ready to make some moves and connect with the rhythm? Join our fun bachata class and stay for the social! No partner needed, all levels welcome, beginner friendly, just bring your energy!


Super chill atmosphere, no pressure for beginners, fantastic teacher, best music and great vibes. Come a bit early if you want to have dinner(Peruvian chef!) or hang out and have a drink.

All level class at 830pm, cone a bit earlier to say hi or for dinner. 




"
