Event Name,Start Time,Address,Host,Url
New York Tech Career Fair: Exclusive Tech Hiring Event,2025-05-30 12:00,"Online, New York, NY, US",Tech Career Fair,https://www.eventbrite.com/e/new-york-tech-career-fair-exclusive-tech-hiring-event-tickets-146584912419
#ProductCon New York: The Conference for Product Leaders,2025-05-21 09:00,"125 W 18th St, New York City, NY, US",Product School,https://www.eventbrite.com/e/productcon-new-york-the-conference-for-product-leaders-tickets-990345067757
Space Tech Summit,2025-09-19 10:00,"Virtual, New York, NY, US",Global Startup Ecosystem,https://www.eventbrite.com/e/space-tech-summit-tickets-69881985901
Everyone Free Sky high Saturdays At Sky Bar Roof Top,2025-05-03 22:00,"45-06 pearson st, Queens, NY, US",City Elite Group,https://www.eventbrite.com/e/everyone-free-sky-high-saturdays-at-sky-bar-roof-top-tickets-1041418650217
New York City Hiring Event,2025-05-27 09:30,"Street, New York, NY, US",TRN. Attend a Professional Hiring Event!,https://www.eventbrite.com/e/new-york-city-hiring-event-tickets-780066559077
Carley Fortune celebrates ONE GOLDEN SUMMER at B&N Union Square,2025-05-05 18:00,"33 East 17th Street, New York, NY, US",Barnes & Noble - Union Square,https://www.eventbrite.com/e/carley-fortune-celebrates-one-golden-summer-at-bn-union-square-tickets-1256864498549
Reggae vs Soca at Polygon: Everyone Free entry with RSVP,2025-05-02 23:00,"299 Vandervoort Avenue, Brooklyn, NY, US",Run The City LLC,https://www.eventbrite.com/e/reggae-vs-soca-at-polygon-everyone-free-entry-with-rsvp-tickets-1298067939149
AfroCode NYC Memorial Day Sunday Day Party [Sun May 25],2025-05-25 16:00,"621 West 46th Street, New York, NY, US",@AfroCode_ | AfroCode Nation,https://www.eventbrite.com/e/afrocode-nyc-memorial-day-sunday-day-party-sun-may-25-tickets-1281149495629
2025 Prospect Park Soiree,2025-06-21 17:00,"1 Wellhouse Drive, Brooklyn, NY, US",Prospect Park Alliance,https://www.eventbrite.com/e/2025-prospect-park-soiree-tickets-1261603643459
Rosé N' Roses Brooklyn,2025-06-21 15:00,"145 Brooklyn Avenue, Brooklyn, NY, US",Rosé N' Roses Events,https://www.eventbrite.com/e/rose-n-roses-brooklyn-tickets-1079992138559
ValeVibe New York - a FOOD INCLUSIVE party,2025-06-28 10:00,"78 South Street, New York, NY, US",ValeVibe,https://www.eventbrite.com/e/valevibe-new-york-a-food-inclusive-party-tickets-1302206347239
TEQUILA FEST NEW YORK CITY 2025,2025-07-19 15:00,"518 Gardner ave, Brooklyn, NY, US",City Elite Group,https://www.eventbrite.com/e/tequila-fest-new-york-city-2025-tickets-1225649824619
Drinks and Links Thursdays At MAMA TACO Everyone Free + Happy Hour Specials,2025-05-01 17:00,"880 Flushing Avenue, Brooklyn, NY, US",JiggyTime Ent,https://www.eventbrite.com/e/drinks-and-links-thursdays-at-mama-taco-everyone-free-happy-hour-specials-tickets-1202782658309
New York City Career Fair,2025-05-27 09:30,"Street, New York, NY, US",Career Fair Connection,https://www.eventbrite.com/e/new-york-city-career-fair-tickets-833679797717
New York City Career Fair,2025-05-27 09:30,"Street, New York, NY, US",Nationwide Career Fairs,https://www.eventbrite.com/e/new-york-city-career-fair-tickets-1124516542249
UJC Summit 2025,2025-05-30 10:00,"545 West 30th Street, New York, NY, US",United Justice Coalition,https://www.eventbrite.com/e/ujc-summit-2025-tickets-1227003463389
New York Fashion Week Model Casting,2025-09-11 15:00,"404 Broadway, New york, NY, US",Revive Fashion Week,https://www.eventbrite.com/e/new-york-fashion-week-model-casting-tickets-1130722504449
"Food House, Ruby Bell, Avas",2025-05-14 19:00,"599 Johnson Avenue, Brooklyn, NY, US",Elsewhere,https://www.eventbrite.com/e/food-house-ruby-bell-avas-tickets-1279862626569
Women in Tech New York 2025,2025-05-22 18:00,"New York, New York, NY, US",WomenTech Network,https://www.eventbrite.com/e/women-in-tech-new-york-2025-tickets-981819397247
Album signing with 98 Degrees for FULL CIRCLE @ B&N 5th Ave!,2025-05-10 14:00,"555 Fifth Avenue, New York, NY, US",Barnes & Noble Fifth Avenue,https://www.eventbrite.com/e/album-signing-with-98-degrees-for-full-circle-bn-5th-ave-tickets-1224864144629
Healthy on the Hudson x IronStrength: Boogie Burn with Lloyd Pearson,2025-05-12 18:30,"West Street, New York, NY, US",Dr. Jordan Metzl,https://www.eventbrite.com/e/healthy-on-the-hudson-x-ironstrength-boogie-burn-with-lloyd-pearson-tickets-1312946832319
"Mallrat, Anna Shoemaker",2025-05-09 19:30,"599 Johnson Avenue, Brooklyn, NY, US",Elsewhere,https://www.eventbrite.com/e/mallrat-anna-shoemaker-tickets-1221484144959
SQL Saturday New York City,2025-05-10 08:00,"11 Times Square, New York, NY, US",SQL Saturday NYC Event Planning Team,https://www.eventbrite.com/e/sql-saturday-new-york-city-tickets-1230678445359
Tinx: Hotter in the Hamptons,2025-05-06 12:00,"828 Broadway, New York, NY, US",The Strand Book Store,https://www.eventbrite.com/e/tinx-hotter-in-the-hamptons-tickets-1290357196109
"Jade LeMac, Sydney Ross Mitchell, Georgie Najar",2025-05-04 18:30,"599 Johnson Avenue, Brooklyn, NY, US",Elsewhere,https://www.eventbrite.com/e/jade-lemac-sydney-ross-mitchell-georgie-najar-tickets-1235090953289
The Creativity Conference - NYC 2025,2025-06-19 09:00,"300 Lafayette Street, New York, NY, US",Creativity Conference Ltd,https://www.eventbrite.co.uk/e/the-creativity-conference-nyc-2025-tickets-1298217436299
"YHWH Nailgun, LEYA, DJ E (Chuquimamani-Condori)",2025-05-16 19:00,"599 Johnson Avenue, Brooklyn, NY, US",Elsewhere,https://www.eventbrite.com/e/yhwh-nailgun-leya-dj-e-chuquimamani-condori-tickets-1221066184829
Skream,2025-05-10 16:00,"599 Johnson Avenue, Brooklyn, NY, US",Elsewhere,https://www.eventbrite.com/e/skream-tickets-1273072908339
"Osseointegration for Amputees: Prosthetics, Rehabilitation, and Surgery",2025-05-30 08:15,"535 East 70th Street, New York, NY, US",HSS Office of Continuing Medical Education and HSS eAcademy®,https://www.eventbrite.com/e/osseointegration-for-amputees-prosthetics-rehabilitation-and-surgery-registration-1227018769169
Trap Fest Saturday May 3 at Polygon: Free entry with RSVP,2025-05-03 23:00,"299 Vandervoort Avenue, Brooklyn, NY, US",Run The City LLC,https://www.eventbrite.com/e/trap-fest-saturday-may-3-at-polygon-free-entry-with-rsvp-tickets-1311204571169
