Event Name,Start Time,Address,Guest Count,Hosts,Url,Description
Brunch Meet & Greet 🍹🥞,2025-05-10T13:00:00-04:00,7 Rivington Street,8,Whitney,https://www.meetup.com/melanatedbrooklyn/events/307013025/,"Join us for the Melanated Brooklyn Group's First Meet & Greet! 🎉

Come out for a relaxed and fun brunch with drinks at our first meet and greet! A perfect chance to meet new people, connect, and enjoy great conversation.

Date: 5/10/2025
Time: 1PM

Come ready to make new connections! We can’t wait to meet you! ✨"
Software Defined Amateur Radio,2025-05-01T19:00:00-04:00,,182,Chris Early,https://www.meetup.com/licn-long-island-consultants-network/events/307188141/,"Are you interested in using Software-Defined Radio (SDR) to create an amateur radio system? This presentation will describe efforts to integrate USB SDR modules with a Raspberry Pi 4 running the Raspberry Pi OS and open-source radio applications such as Software-Defined Receiver (GQRX) and weak signal communication software (WSJT-X) to create a modular portable amateur radio system.

Topics include:

* Radio and RF apps, including a GNU Radio FM receiver flowgraph
* Quite Universal Circuit Simulator (Qucs) with microstrip RF filter Layout simulation
* Octave OpenEMS electromagnetic field solver
* KiCad layout example
* Raspberry Pi Pico microcontroller programming examples

**Speaker Bio:**
[Jay Morreale](https://www.linkedin.com/in/pbrane/) is an independent electronics consultant at [p-brane LLC](https://www.p-brane.com/) and provides services for applications in fiber-optic communications, optical networking, sensors, actuator drivers, and undersea systems.

He is a senior member of the IEEE, the vice-chair of the IEEE CNNNJ, and has worked at AT&T Bell Laboratories, Lucent Technologies, and was a co-founder of Red Sky Systems.
**Agenda:**
We will start our meeting at 7:00 pm. For the next 10 minutes or so, we will introduce ourselves, handle any LICN business and do a little networking. We will then start our presentation. After the presentation, feel free to stick around and chat with others to network or to further discuss our lecture topic.

**NOTES**
There is no cost to attend this meeting, however, if you are a NYS Professional Engineer and would like to receive Professional Development Hours (PDHs) of continuing education credit, then payment of a $15 fee is required. You will also have to properly fill out an Evaluation Form to prove that you attended this lecture.[ ](https://docs.google.com/forms/d/e/1FAIpQLSeyxpa7vySlpGwGmTJXG9ctJptGOefhLJUQF4KYCmICx6rZ_Q/viewform?usp=header)**[Click here](https://docs.google.com/forms/d/e/1FAIpQLScq99CBMZMxYKWQge9Eh_qMjePAeX_qUWJ5_YjMlSkYqMqbzg/viewform?usp=header)** to open the form. Simply fill it out and click on the “Submit” button.

We accept electronic payment via Zelle. Zelle is a bank-to-bank transfer mechanism supported by most banks, without a fee, as part of their normal online banking capabilities. There is also a Zelle app available for your smartphone.

When you use Zelle with your bank, it will ask for the following information: 1) the amount to send (enter $15.00), 2) what account you want to pull the money from (select whatever account you want to use), and 3) the phone number or email of the recipient (enter ieeelicn@gmail.com. Don’t worry if you see the name of our Treasurer, David Rost, pop up). If it asks for a memo field, we suggest entering ""yymmdd LICN PDH” where yymmdd are the year, month and date of the lecture.

While we prefer that your payment and evaluation form are received by the day of the lecture, they must be received by the first Monday after the lecture.

If paying by Zelle is a problem for you, then please contact Ed Gellender at edgellender@gmail.com for an alternate payment method."
AI/ML Conversations Meetup: Trends in Patenting AI/ML,2025-05-06T17:30:00-04:00,11 W 19th St,347,"Anna Leonenko, Ian Howe, Koen, Vlad Eremin",https://www.meetup.com/new-york-ai-ml-conversations/events/306214326/,"Agenda:
5:30PM Doors open
5:30PM - 6:15PM Reception, networking
6:15PM - 7:15PM Michael Fainberg, Patent Attorney
Partner at ArentFox Schiff LLP: Trends in Patenting AI/ML Technologies
7:15PM - 8:00PM Further Networking & get-together in the nearby bar.

!!! IMPORTANT !!!
\- Please provide your full legal name at the time of RSVP\, as it is necessary to enter the building and please ensure to bring a valid photo ID\.

This event is hosted at the Capital One Office! Enter through 11 W 19th Street main entrance. Show your photo ID at the front desk and proceed to the 3rd floor."
NY Professionals Happy Hour,2025-05-01T19:00:00-04:00,411 3rd Ave,117,Nico D,https://www.meetup.com/ny-young-professionals/events/307088931/,"Meet new people and/or old friends at *Bella Union* https://www.bellaunionnyc.com/

*Bella Union* is an upscale American Saloon, it's a great space for dining and drinking! It also has a ***rooftop*** with a view of the Empire State Building and the Chrysler Building!

**Join us and make new friends!**

Event is free to attend: no cover, no drink minimum.

PS: Please sign up only if you plan on attending. #noflakes

Appropriate profile photo is mandatory."
Championing Accessibility: Technical and Non-Technical Tips,2025-05-08T19:30:00-04:00,72 Spring St,162,"Ben Ogilvie, Cameron Cundiff, Thomas Logan",https://www.meetup.com/a11ynyc/events/306807093/,"This event will be online and in-person. **The speaker and [YouTube live stream](https://youtu.be/NG5HxfuXL4w) starts at 7:30 pm ET**. In-person attendees may arrive as early as 7 pm ET.

**Important note**
Google Maps currently incorrectly pins the location around the corner on Crosby Street. The entrance is not on Crosby. The entrance is on Spring Street, inside the Marc Jacobs International building. It is roughly halfway between Crosby and Lafayette, almost directly across Spring Street from the Chipotle restaurant.

**Description**
Whether you are a product manager, engineer, or QA, change happens when people make it happen.

In this session, Asha Sachdeva and Kai Wong from Teladoc Health's Accessibility team will motivate you to champion digital accessibility through personal commitment, strategic action, and tools — no fancy job title needed. Discover practical strategies, including engineering-specific tips, to make a meaningful impact on accessibility within your team or organization.

Attendees will:

* Learn ways to build a network and gain credibility as an influential accessibility champion in tech.
* Gain technical and non-technical tips on driving accessibility change in your work and teams.
* Get motivated to integrate accessibility in software development.

**Presenter bio**
[Kai Wong](https://www.linkedin.com/in/kwong4a11y/) (she/they), believes in the transformative power of accessible technology for a better world. At Teladoc Health, the global leader in health and whole person care, Kai is a Principal of Digital Accessibility, founder of Accessibility Champions for Change, and serves on the leadership board for their disability-focused Business Resource Group (BRG).

They are an inventor of a U.S. patent pending, a recipient of the 2021 DC FemTech Award, and hold certifications in accessibility, health education, and quality assurance. Dubbed a presenter who “could make stale bread interesting,” Kai's strategy for advancing accessibility is simple: make it fun and inspire action.

[Asha Sachdeva](https://www.linkedin.com/in/asha-sachdeva-9505681b/) is a seasoned senior manager of engineering with a specialization in accessibility, bringing over two decades of experience in leading cross-functional engineering teams to deliver high-quality, accessible, and user-centric digital products. With a strong passion for creating technology that empowers individuals of all abilities, Asha operates at the intersection of technical innovation and social responsibility.

Sasha leads a team of engineers and accessibility experts in developing solutions that adhere to accessibility standards such as WCAG, Section 508, and ADA. Sacha collaborates closely with product, design, and QA teams to integrate accessibility across every phase of the product development lifecycle, from ideation through to implementation and testing. Sacha has a Master’s degree in Computer Science.

**Accessibility**
The presentation will have human captions [CC], not automatic captions. There will be an ASL interpreter.

For Aira Visual Interpreter access for the Blind and Low Vision community, download the Aira Explorer app on the [Apple App Store](https://apps.apple.com/us/app/aira-explorer/id1590186766) or [Google Play](https://play.google.com/store/apps/details?id=io.aira.explorer&hl=en-US). For access in the physical space, the A11yNYC geofence should apply automatically.

To access the online webinar for audio description, use the A11yNYC Access Offer to call, or simply inform your Visual Interpreter that you'd like that offer applied when you connect.

Please let us know about any other accessibility requirements two weeks before the event.

**Livestream**
[YouTube link](https://youtu.be/NG5HxfuXL4w)

Provided by Internet Society Accessibility SIG.

**Location details**
The event is on the 4th floor. Everyone must be accompanied to the event on the 4th floor. Because everyone needs to be escorted, please arrive early or on time. When you enter the ground floor, a representative from A11yNYC will be there to provide elevator access.

Attendees can enter on the third floor and go up the staircase, or request accommodation to go directly to the 4th floor. Thanks to Ben Ogilvie for making this possible! [Let us know](https://www.meetup.com/A11yNYC) if you're coming!

The building is near several transit stops:

6 train

* Spring Street (non-accessible stop): 100 feet
* Canal Street (accessible stop): 0.4 miles

NQRW trains

* Prince Street (non-accessible stop): 0.2 miles
* Canal Street (accessible stop): 0.3 miles

M1 / M55 Bus lines

* Broadway/Spring Street stop: 500 feet

Cabs and rideshares can let passengers out right near the building entrance

**Accreditation**
All A11yNYC meetups are pre-approved for IAAP Continuing Accessibility Education Credits (CAEC).

**Sponsors**
Thanks to [AKQA](https://www.akqa.com/), [Deque](https://www.deque.com/), [Evinced](https://www.evinced.com/), [Equal Entry](https://equalentry.com/), and [Fable](https://makeitfable.com/) for sponsoring. Want to be a sponsor? Contact meryl@equalentry.com"
Fireside chat with Clay Co-founder/CEO Kareem Amin,2025-05-12T18:00:00-04:00,"111 Conselyea St Floor 2, Brooklyn, NY 11211",125,Dan Storms,https://www.meetup.com/ny-product/events/307290062/,"**What does it take to build one of the most respected AI product startups—without chasing the hype?**

Join over 100 product leaders for an intimate fireside chat with [Kareem Amin](https://www.linkedin.com/in/kareemamin/), Co-founder/CEO of [Clay](https://www.clay.com/). Kareem has built Clay into a breakout tool for GTM teams, used by OpenAI, Canva, and Ramp, and recently raised a $40M Series B expansion at a $1.25B valuation.

Hear the story of how Clay evolved from a horizontal low-code platform to a GTM-specific vertical product and one of the AI “application layer” startups that’s breaking through.

If you’re thinking about starting an AI startup or incorporating AI into your product or growth teams, Kareem is one of the most insightful leaders to learn from.

Mingle with the best product people in NYC at the welcoming Fractal Tech Williamsburg space, with free food and drinks.

\~\~\~\~\~\~\~\~\~\~\~\~\~\~

Hosted by [Dan Storms](https://www.linkedin.com/in/danstorms/), CPO at [The Rounds](https://www.therounds.co/), a membership for sustainable grocery and household refills. Dan co-founded the NY Product community in 2016. Previously, he led product teams at startups and growth companies, including serving as the first Head of Product & Engineering at CookUnity—one of the fastest startups to scale beyond $100m in ARR.

\~\~\~\~\~\~\~\~\~\~\~\~\~\~

Special thanks to Fractal! The [Fractal Tech Hub](https://fractaltechhub.com/) is a meeting place in the heart of Williamsburg for startup founders and engineers to do their most ambitious work. They offer 4000+ square feet of both shared office space and private offices, two kitchens, a communal lounge, and a 5000+ square foot private roof deck."
"Networking, Listening & Discovery: Rew Dickinson: Sponsored by Iris +Storylane",2025-05-07T17:30:00-04:00,307 West 38th Street,112,"Eric Glick, Ben Hills, Andre Escobar, Alexis Kulash, Akshat Srivastava",https://www.meetup.com/sales-engineers-of-new-york/events/307357854/,"Sales Engineers of New York (SENY) and our sponsors [Iris](https://heyiris.ai/) and [Storylane](https://www.storylane.io/) invite you to our spring event of 2025 hosted in a private midtown studio in Manhattan. Come join us to welcome renowned presales speaker Rew Dickinson, CEO of [Alpha Presales](https://www.alphapresales.com/) who will lead us through some exercises to help us be better listeners, networkers, and salespeople that get people talking and make them feel heard.

SENY was formed in 2018 to connect all current and aspiring SEs of New York area. One of the challenges we found was that a lot of SEs (current or prospective) did not have a community where they can discuss issues related to the field of sales engineering. Join our Slack and LinkedIn channels today: https://www.salesengineersny.com/sign-up

We will be giving our latest SWAG at the start of the event, thanks to [Storylane](https://www.storylane.io/) and [Iris](https://www.heyiris.ai/)! Please arrive on time to get yours.

**Logistics:** Please arrive at the location 307, West 38th Street at 5:30 pm to give yourself enough time to check in and settle in. **We will reveal the exact floor to RSVPd guests via email**. Please make sure to fill out the meetup form to **have your name match your ID**, and please provide an **email**. If you have any issues, please message @senyfounders on our slack (you can join our slack at https://www.salesengineersny.com/sign-up)

**Disclaimer**: This event is 21+ (alcohol provided)

**After-Party Networking Event:** To welcome our SE community to the new year, attendees are invited to an open bar event (location will be revealed at the day of event). This event is sponsored by [Iris](https://www.heyiris.ai/)

**Agenda**:

* 5:30 pm: Doors Open & Arrivals
* 6- 6:15 pm: Networking & Swag by Sponsors
* 6:15 -6:30 pm: SENY Introductions & Presentations
* 6:30- 7:15 pm: Talk by Rew Dickinson
* [**Optional**] 7:30 - 9:30 pm: After-Party Networking Event sponsored by Iris

Thanks and we are looking forward to seeing you!

-SENY Organizers"
Tech Gather NYC May Meetup,2025-05-07T19:00:00-04:00,17 John St,128,Diana Peterson,https://www.meetup.com/tech-gather-nyc/events/307461041/,"Tech Gather NYC is a mixer for anyone and everyone in NYC Tech.

New to Tech? Welcome!
15 years in? Come on down!
Just got to the city? Get to know the techies here!
Been here forever? Grab your ""Pizza Rat"" headband and welcome the newbies.

Be you Product, UI, Coder or Solutions or any of the buzz terms our industry throws out there, come unwind at a chill Irish pub on Fulton with cheap drinks and stay for a top-notch (free!) karaoke session next door.

Did I mention the whole thing is free?"
Beyond the Hype: Practical AI Workflows with Airflow,2025-05-15T18:00:00-04:00,19 W 22nd St,111,"Ryan Delgado, Airflow Meetups, Julian LaNeve",https://www.meetup.com/nyc-apache-airflow-meetup/events/306903943/,"**Join fellow airflow enthusiasts and leaders at Ramp's Offices for an evening of engaging presentations, delicious food and drinks, and awesome swag!**

**PRESENTATIONS**

***Agents are overrated: the case for orchestrated LLM workflows with the Airflow AI SDK***

* **Speaker:** [Julian LaNeve](https://www.linkedin.com/in/julianlaneve/), Chief Technology Officer, [Astronomer](https://www.astronomer.io/)
* We've seen countless teams chase the mirage of autonomous agent swarms, only to get lost in complexity without delivering value. The truth? Most organizations don't need agents talking to agents – they need reliable LLM workflows that solve real business problems today. That's why we've open-sourced our AI SDK for Apache Airflow, distilling battle-tested patterns that have helped companies achieve transformative results without the science fiction complexity. In this talk, we'll walk through the SDK and a couple examples demonstrating how easy it is to work with.

***How Ramp Fuels Growth with LLMs and Airflow***

* **Speaker:** [Arman Vaziri](https://www.linkedin.com/in/armanvaziri/), Staff Software Engineer, [Ramp](https://ramp.com/)
* At Ramp, LLMs and Airflow power a full-stack data engine that turns B2B data into go-to-market fuel. In this talk, Arman Vaziri shares how Ramp leverages LLMs to transform messy datasets into normalized, actionable insights — and activates it across automated outbound, a customer data platform, and various GTM applications.

* You'll get an inside look at:

* The role of Airflow in orchestrating LLM-powered outbound sales
* How Ramp uses LLMs to turn unstructured data into value across the sales funnel
* Lessons learned from building large-scale data pipelines on imperfect data

Whether you're scaling a startup or optimizing enterprise outbound, this talk will give you actionable insights into blending data engineering and AI for meaningful business impact.

**AGENDA**

* **6-6:30PM:** Arrivals, eat, drink, and network
* **6:30-7:30PM:** Presentations
* **7:30-8PM:** Networking"
NY Professionals Happy Hour,2025-05-15T19:00:00-04:00,230 5th Avenue,100,Alessandra,https://www.meetup.com/ny-young-professionals/events/307107414/,"Meet new people and/or old friends at *230 Fifth*!
[https://230-fifth.com/](https://230-fifth.com/)

Located in the heart of New York City, Flatiron district a few blocks from the Empire State Building, **230 Fifth Rooftop** offers a unique and relaxed atmosphere to unwind and enjoy breathtaking views!

**Join us and make new friends!**

Event is free to attend: no cover, no drink minimum.

Please find the group indoors, and we'll later explore the rooftop.

PS: Please sign up only if you plan on attending. #noflakes

Appropriate profile photo is mandatory."
