Name,Start Time,Address,Capacity,Hosts,Url
Cowork & Chill x Think Coffee,2025-05-02T14:00:27+00:00,,20,"Aj Tolentino, Tae Jeong",https://www.supermomos.com/socials/cowork-chill-x-coffee
[PMAI][Voyage] Founder's Panel with Jerry Limber: Navigating the Entrepreneurial Journey,2025-05-02T21:00:00+00:00,,20,Nick Gu,https://www.supermomos.com/socials/pmai-voyage-founder-panel-jerry
Celebrating Culture - AAPI TEA PARTY,2025-05-03T18:00:16+00:00,,20,"Anand M, Maggie Xue",https://www.supermomos.com/socials/free-tea-cocktails-brooklyn
AI/ML Conversations Meetup: Trends in Patenting AI/ML Technologies,2025-05-05T21:30:00+00:00,,80,Vladimir Eremin,https://www.supermomos.com/socials/ai-ml-conversations-meetup-360f08
Boat Baby: Vicky Nguyen in Conversation with Ally Love,2025-05-06T22:00:00+00:00,"725 Park Ave, New York, NY 10021, USA",40,John Hwang,https://www.supermomos.com/socials/boat-baby-vicky-nguyen
Founders Cohort - Brown Bag Lunch - Founders Support Group - May 7,2025-05-07T16:00:00+00:00,,50,"Augustus Loi, Patrick Hwang",https://www.supermomos.com/socials/founders-cohort-brown-bag-f47e7e
"May Private Founders in Fintech & AI Dinner in NYC, co-hosted with Citi's Markets Strategic Investments",2025-05-07T22:00:00+00:00,,20,"Joanne Hu, Kaizhong Zheng, Edwina Yeo",https://www.supermomos.com/socials/private-founders-dinner-nyc-413291
Tech Gather NYC May Meetup,2025-05-07T23:00:00+00:00,"17 John St, New York, NY 10038, USA",200,Diana Peterson,https://www.supermomos.com/socials/tech-gather-nyc-may
Scale & Savor: A $100M Founders Dinner Experience,2025-05-08T22:00:00+00:00,,20,"Joanne Hu, Kaizhong Zheng, Edwina Yeo",https://www.supermomos.com/socials/private-founders-dinner-nyc-9e822c
"Eat, Drink, Watch: Lucky Chow Goes to Taiwan with Danielle Chang",2025-05-08T22:00:00+00:00,"725 Park Ave, New York, NY 10021, USA",40,John Hwang,https://www.supermomos.com/socials/drink-watch-lucky-chow
Super Diners Club: Curated Dinner with Strangers on May 9! Members only - $24.99/month if you are approved,2025-05-09T22:30:00+00:00,,50,"Joanne Hu, Kaizhong Zheng, Edwina Yeo",https://www.supermomos.com/socials/super-diners-club-curated-c12547
Asia Arts After Party,2025-05-13T01:00:00+00:00,"725 Park Ave, New York, NY 10021, USA",50,John Hwang,https://www.supermomos.com/socials/asia-arts-party
2025 Global Talent Symposium at Asia Society,2025-05-14T12:00:00+00:00,,15,John Hwang,https://www.supermomos.com/socials/global-talent-symposium-asia
Pitches and Pints: Startup Demo Showcase,2025-05-15T21:30:00+00:00,"106 W 32nd St, New York, NY 10001, USA",50,Joshua Ness,https://www.supermomos.com/socials/pitches-pints-startup-demo-778b74
Guide to Invest in NYC Real Estate (Pier 57 - Daffodil Classroom),2025-05-15T22:30:00+00:00,,20,Eva Lam,https://www.supermomos.com/socials/nyc-real-estate-pier-feba83
May Series A+ Private Founders Dinner in NYC feat. GP at Union Square Ventures (~$3B AUM),2025-05-19T22:00:00+00:00,,20,"Joanne Hu, Kaizhong Zheng, Edwina Yeo",https://www.supermomos.com/socials/april-series-a-private
Super Diners Club: Curated Dinner with Strangers on May 20! Members only - $24.99/month if you are approved,2025-05-20T22:30:00+00:00,,50,"Joanne Hu, Kaizhong Zheng, Edwina Yeo",https://www.supermomos.com/socials/super-diners-club-curated-4a256b
Career Catalysts: Lessons from Asia’s Leaders,2025-05-21T22:30:00+00:00,,40,"Elaine Truong, Cheryl Lee, Jia Chuan Kwok, Cheryl Lee",https://www.supermomos.com/socials/career-catalysts-lessons-asia
Barbara Demick's Daughters of the Bamboo Grove Book Launch with Emily Feng,2025-05-22T22:30:00+00:00,"725 Park Ave, New York, NY 10021, USA",40,John Hwang,https://www.supermomos.com/socials/barbara-demick-daughters-bamboo
May Private Founders Breakfast in NYC,2025-05-27T12:30:00+00:00,,35,"Joanne Hu, Edwina Yeo",https://www.supermomos.com/socials/private-founders-breakfast-nyc
May Private Engineering Leadership Dinner in NYC,2025-05-28T22:00:00+00:00,,23,"Joanne Hu, Kaizhong Zheng, Edwina Yeo",https://www.supermomos.com/socials/april-private-engineering-leadership
"Supermomos Dinner, Drinks, and Live Music",2025-05-28T23:00:00+00:00,"44 E 32nd St, New York, NY 10016, USA",20,"Joanne Hu, Edwina Yeo",https://www.supermomos.com/socials/supermomos-dinner-drinks-live
Startup World Cup at #NYTechWeek,2025-06-04T20:30:00+00:00,"250 W 55th St, New York, NY 10019, USA",100,Joshua Ness,https://www.supermomos.com/socials/startup-world-cup
Super Diners Club: Curated Dinner with Strangers on June 5! Members only - $24.99/month if you are approved,2025-06-05T22:30:00+00:00,,50,"Joanne Hu, Edwina Yeo, Kaizhong Zheng",https://www.supermomos.com/socials/super-diners-club-curated-7919fb
Super Diners Club: Curated Dinner with Strangers on June 20! Members only - $24.99/month if you are approved,2025-06-20T22:30:00+00:00,,50,"Joanne Hu, Edwina Yeo, Kaizhong Zheng",https://www.supermomos.com/socials/super-diners-club-curated-b9336e
