Event Name,Start Time,Address,Guest Count,Hosts,Url
Scale or Die: Solana Record Service Workshop,2025-05-19T14:00:00.000Z,"Convene Brookfield Place, 225 Liberty, 225 Liberty St, New York, NY 10281, USA",214,D3,https://lu.ma/sxuavlbw
"Hardware Startups - Start With a Problem, Not a Product",2025-05-19T22:30:00.000Z,"224 W 4th St #250, New York, NY 10014, USA",50,"Mercy, Mike Pica",https://lu.ma/0gbut9tu
FC BK • Founders Run & Coffee!,2025-05-20T11:00:00.000Z,"Mya & Brooklyn Coffee Bakery, 46 Roebling St, Brooklyn, NY 11211, USA",0,"Founders Common, Haley Kennedy",https://lu.ma/inhqkv01
Rippling Run Club - NYC,2025-05-20T11:30:00.000Z,"Do Not Feed Alligators, 337 Bleecker St, New York, NY 10014, USA",0,Rippling Startups Events,https://lu.ma/gsunkgjo
"Solana Speed by Arcium, Pinata, Metamask, Shaga, Halborn & OFFLINE | Accelerate 2025",2025-05-20T20:45:00.000Z,,0,"Lena Grundhoefer, Consensys, Julian Deschler, Halborn",https://lu.ma/solanaspeed1
HcH Founder & Friends Skeeball,2025-05-20T22:00:00.000Z,"Full Circle Bar, 318 Grand St, Brooklyn, NY 11211, USA",79,"Gus Roman, Michael George, Healthie",https://lu.ma/z5lkzt11
Immigrant Happy Hour,2025-05-20T22:00:00.000Z,,0,"Liesel Vaidya, Vicka Ter-Ovanesyan, Danielle Goldman",https://lu.ma/3ebamvp6
Primary Bootcamp LIC Meetup,2025-05-20T22:00:00.000Z,"Finback LIC, 29-37 41st Ave, Queens, NY 11101, USA",7,"Sachi Takahashi-Rial, Stacey Lipschitz",https://lu.ma/j1fjl3re
Kanso x Sprout Society: Unplugged Social,2025-05-20T22:30:00.000Z,,0,"Randy Ginsburg, Michael Axman, Danielle Kastenbaum, Sprout Society",https://lu.ma/bc05qzvf
Solflare Speakeasy @ Solana Spaces,2025-05-20T23:00:00.000Z,"57 Stanton St, New York, NY 10002, USA",967,Johnny | Solana Spaces,https://lu.ma/hi2oppie
Animation Nights New York (ANNY) at The Gutter Spare Room!,2025-05-21T00:00:00.000Z,,0,Animation Nights,https://lu.ma/3270gn67
Startup Lean Coffee,2025-05-21T13:00:00.000Z,"Foley Hoag LLP, 1301 6th Ave, New York, NY 10019, USA",115,Geoff Scott,https://lu.ma/e60agnk3
soLANa PARTY - A Solana Gaming Showcase presented by Shaga,2025-05-21T19:00:00.000Z,"57 Stanton St, New York, NY 10002, USA",533,Johnny | Solana Spaces,https://lu.ma/3vnbc6pu
*Free Event* Hudson Yards Hosts Reading Rhythms! May 21st,2025-05-21T21:30:00.000Z,"Hudson Yards, New York, NY 10001, USA",0,"Leita Williams, Marci Wolfish",https://lu.ma/9znbrwfu
Dorrian's Backgammon Club,2025-05-21T22:30:00.000Z,"1616 2nd Ave, New York, NY 10028, USA",29,Remington Davenport,https://lu.ma/em6z368o
Power Panels: Navigating Career Pivots,2025-05-21T22:30:00.000Z,"Fabrik DUMBO, 20 Jay St Suite 218, Brooklyn, NY 11201, USA",0,Georgia Rounder,https://lu.ma/2j8kr7y0
Print Club: Postcard Print Set,2025-05-21T23:00:00.000Z,"20 Grand Ave, Brooklyn, NY 11205, USA",0,RecCreate Collective,https://lu.ma/7qbs7a8o
"The cabbage Salon: Becoming and Belonging, Navigating Identity in Digital and Physical Spaces",2025-05-21T23:00:00.000Z,"Heaven & Earth, 290 Nassau Ave, Brooklyn, NY 11222, USA",16,Jenita Richards,https://lu.ma/iwpyj1op
Pitch and Run 730am Thursday Early Bird,2025-05-22T11:30:00.000Z,"Le Pain Quotidien, 395 S End Ave, New York, NY 10280, USA",437,"Kevin Weatherman, Chaitenya Razdan",https://lu.ma/mw005iqm
2025 Solana accelerate Co-Research Event: Building the Trustless Infrastructure for Global Payments with Al & Stablecoins,2025-05-22T17:30:00.000Z,,0,Nova@Vishwa,https://lu.ma/44h5k02w
"NYC Rooftop Networking Event - Brands, Consumer Investors & Media Leaders",2025-05-22T19:30:00.000Z,,0,"mediaforgrowth NYC, Diana Florescu, Luca Zaccagnino",https://lu.ma/0x2gd3bf
"Web3 Music Isn't Working - Ray Jacobson (Audius), Dan Smith (Artist House), Clayton Blaha (Material Nonpublic)",2025-05-22T20:05:00.000Z,,0,Solana Foundation,https://lu.ma/ahme9gu2
SAYge Female Founders Studio Exhibit Event - NYC,2025-05-22T22:00:00.000Z,"Times Square Tower, W 42nd St, New York, NY 10036, USA",0,Linda N,https://lu.ma/mibv4rl5
The Dinner Table at Republic Latin Fusion (Williamsburg),2025-05-22T23:00:00.000Z,"Republic Latin Fusion, 181 N 10th St, Brooklyn, NY 11211, USA",15,The Dinner Table,https://lu.ma/DinnerTableRepublicLatinFusion
Pitch and Run Friday - The Original PNR,2025-05-23T12:55:00.000Z,"Bluestone Lane Chelsea Piers Café, 62 Chelsea Piers Pier 62, New York, NY 10011, USA",354,Kevin Weatherman,https://lu.ma/vrqiepu2
Heartbeat of Halsey: The Shopping Tour,2025-05-23T20:00:00.000Z,"5 Warren St, Newark, NJ 07102, USA",0,EQUALSPACE,https://lu.ma/uu2bltxd
"Fashion & Creatives Mixer by ICON, 99 Yards, and SeedLegals",2025-05-23T22:00:00.000Z,,163,"Khanna Shalumova, Tony henry, Ilias Anwar, Anthony Rose",https://lu.ma/hhg6omws
+1 Matchbox Party [admits 2],2025-05-23T23:00:00.000Z,"Croton Reservoir Tavern, 108 W 40th St, New York, NY 10018, USA",13,Met Through Friends,https://lu.ma/cg6er2gt
Of The Sun: All-Vinyl Dance Party,2025-05-24T02:00:00.000Z,"Night Club 101, 101 Avenue A, New York, NY 10009, USA",18,"Connie Chen, Vik Srinivasan, Akin, IT MEANS LIGHT",https://lu.ma/1lp3aw0q
Junk Journaling Fest w/ Junklub,2025-05-24T16:00:00.000Z,"119 N 1st St, Brooklyn, NY 11249, USA",25,craftnook,https://lu.ma/97e7apjw
FC NYC • Founders Yoga (with ASIA YOGA NYC),2025-05-25T17:30:00.000Z,,0,"Founders Common, Damian Tenuta",https://lu.ma/heytmkm9
UGLY TALK: FROM $0 TO $10K/MONTH IN ECOMMERCE AT SHOPIFY,2025-05-27T22:00:00.000Z,"Shopify NY, 131 Greene St, New York, NY 10012, USA",172,"New Edition, Ugly Talk by Grey Journal, Shopify NY",https://lu.ma/dq26n3jk
NYC B2B: Pre-Seed + Seed Founders & Investors Meetup,2025-05-27T22:30:00.000Z,,178,Manan Modi,https://lu.ma/m55ri0d5
Strategic Networking for International Founders,2025-05-28T21:30:00.000Z,"Fabrik NYC, 12-16 Vestry St 4th Floor, New York, NY 10013, USA",5,The Vertical,https://lu.ma/ovkeps20
Bookbinding: Accordion Book,2025-05-28T23:00:00.000Z,"Drawing Room, 247 W 30th St # 9R, New York, NY 10001, USA",0,"Drawing Room, Ray Hwang, Amy Zhou",https://lu.ma/dzvkx5hp
"🍓 the berry patch picnic: Coinbase, Boundless, & SOON",2025-05-29T20:30:00.000Z,,0,"Boundless, SOON Network, Drew Coffman",https://lu.ma/hc9p78dd
