Event Name,Start Time,Address,Guest Count,Hosts,Url
Tech Pickleball NYC,2025-04-25T11:30:00.000Z,"McCarren Park Tennis Courts, 50 Bedford Ave, Brooklyn, NY 11222, USA",1224,"John DiLoreto, Skyler Birk-Stachon, Optemization",https://lu.ma/9uxgw8l4
Pitch and Run Friday - The Original PNR,2025-04-25T12:55:00.000Z,"Bluestone Lane Chelsea Piers Café, 62 Chelsea Piers Pier 62, New York, NY 10011, USA",303,Kevin Weatherman,https://lu.ma/vrqiepu2
"The Visionary's Table: Build A Waitlist That Converts Edition [For Founders, Funders, Fractionals]",2025-04-25T13:30:00.000Z,,65,"Ashley Jefferson, Derek Kastner- Fabrik Community Director, Farah Momen - Fabrik Community Director",https://lu.ma/wnuo76vg
Two Coffees and a Beer,2025-04-25T14:00:00.000Z,,0,Skyline,https://lu.ma/pc2rbxj3
"Spring Clean Your Health: Navigating Toxins, Fear Mongering, and Detox Strategies",2025-04-25T18:00:00.000Z,"Sage + Sound, 1481 3rd Ave, New York, NY 10028, USA",0,The Lanby,https://lu.ma/1ok07r76
Bonjour Girls Special x Memor Museum - 面具之下，倾听她的声音,2025-04-25T21:00:00.000Z,,26,"Claire Bai, Winnie S., Erin Zheng, Chuhan, Yuki, Tina Xu小西, Catherine",https://lu.ma/18auj05v
Floral Workshop,2025-04-25T22:30:00.000Z,"Mya & Brooklyn Coffee Bakery, 46 Roebling St, Brooklyn, NY 11211, USA",15,,https://lu.ma/Floralworkshop
N.Y.C. Salon: Is curiosity dangerous?,2025-04-25T23:30:00.000Z,"389 5th Ave floor 9, New York, NY 10016, USA",0,"Chris McCaffery, Celeste Marcus",https://lu.ma/vugud32j
PROOF Saturday Morning Bagel Run,2025-04-26T11:30:00.000Z,"Sofia's Bagels and Kitchen, 535 Hudson St, New York, NY 10014, USA",55,PROOF Run Club,https://lu.ma/imukwe8q
Mindful Parenthood: Earth Day Secondhand Shopping with Sundays x Babymint,2025-04-26T12:00:00.000Z,"sundays Nontoxic Nail Studio East Village, 71 4th Ave, New York, NY 10003, USA",47,Fiona,https://lu.ma/bw5ar72c
Founders Running Club :: New York,2025-04-26T13:00:00.000Z,"Abingdon Square, Hudson St, New York, NY 10014, USA",654,Founders Running Club,https://lu.ma/wsf4r70w
Queens Girls Who Walk,2025-04-26T15:00:00.000Z,"Down to Earth Cunningham Park Farmers Market, 19600 Union Tpke, Fresh Meadows, NY 11366, USA",169,Stan S,https://lu.ma/9ja36nl0
Brooklyn Artist Studio Walk by Visionary Projects,2025-04-26T16:00:00.000Z,,0,Visionary Projects,https://lu.ma/elvh2fz5
Unpitch Fossil Fuels: A Creative Challenge for the Planet,2025-04-26T16:00:00.000Z,,48,Clean Creatives,https://lu.ma/e3z793qx
Ivy Cut Pickleball Club Meetup #1,2025-04-26T17:30:00.000Z,"Mcarren Park Blacktop, 50 Bedford Ave, Brooklyn, NY 11222, USA",32,,https://lu.ma/7dnxamx0
HUA Wellness Community Picnic,2025-04-26T18:00:00.000Z,,92,"Omamoke Okah, Linda Xu",https://lu.ma/mkq4uxn6
Jazz Duet & Afterparty @ Upstairs,2025-04-27T00:00:00.000Z,,0,"itai, Yoav",https://lu.ma/yom3vgen
L&L Monthly Classic Vol. 4,2025-04-27T00:00:00.000Z,"Prospect Park Tennis Center, 50 Parkside Ave, Brooklyn, NY 11226, USA",28,"Khari, Michael ",https://lu.ma/9fkj64kv
Biotechnology Yard Sale,2025-04-27T14:00:00.000Z,"Genspace, 132 32nd St #108, Brooklyn, NY 11232, USA",83,"Vanessa Champagne, Casey Lardner, Serena Wessely",https://lu.ma/aenjg1it
SunLife Organics NYC SOHO Grand Opening,2025-04-27T14:00:00.000Z,"482 W Broadway, New York, NY 10012, USA",64,,https://lu.ma/vid0w5h1
Volunteer-Led Events: Poetry Off Paper (Open Mic),2025-04-27T14:00:00.000Z,"Drawing Room, 247 W 30th St # 9R, New York, NY 10001, USA",0,"Drawing Room, Aubrey Aiese, Brigita Przybylski",https://lu.ma/u5nr3gwp
Peruvian Meet Up,2025-04-27T18:00:00.000Z,"Flushing Meadows Corona Park, P5R5+2P, Queens, NY 11354, USA",0,Cultura Takeover,https://lu.ma/7bnaz32w
Seed + Soil,2025-04-27T18:00:00.000Z,"Index, 120 Walker St 3rd Floor, New York, NY 10013, USA",15,Leo Kirts,https://lu.ma/1c19yfqx
Reading Rhythms Midtown Manhattan: April 27th,2025-04-27T20:00:00.000Z,"Hotel Alameda, High Line, 518 W 27th St, New York, NY 10001, USA",0,"Tommy Heller, Dena Levitz",https://lu.ma/lhmi6j3v
Sound Hallucinations,2025-04-27T21:00:00.000Z,"301 Ten Eyck St, Brooklyn, NY 11206, USA",39,Nima Gardideh,https://lu.ma/sound-hallucinations
Trinket Club: Crafting & Community,2025-04-27T22:30:00.000Z,"119 N 1st St, Brooklyn, NY 11249, USA",7,craftnook,https://lu.ma/km892dix
Lil Farcon Scavenger Hunt,2025-04-28T16:00:00.000Z,"267A Grand St, Brooklyn, NY 11211, USA",74,gramajo,https://lu.ma/vb2nou6u
Backgammon At Aqua,2025-04-28T22:30:00.000Z,"902 Broadway, New York, NY 10010, USA",51,Remington Davenport,https://lu.ma/960sdcli
TPM FashionTech Mixer at Arête!,2025-04-28T22:30:00.000Z,,0,"Rachel Sterling, Kotryna Jukneviciute",https://lu.ma/nxz9nua3
FC BK • Founders Run & Coffee!,2025-04-29T11:00:00.000Z,"209 N 11th St, Brooklyn, NY 11211, USA",0,"Founders Common, Haley Kennedy",https://lu.ma/inhqkv01
FC NYC • Founders Run & Coffee!,2025-04-29T11:00:00.000Z,"St. George Coffee, 74 7th Ave S, New York, NY 10014, USA",0,"Founders Common, Damian Tenuta",https://lu.ma/5v3hrwbz
"New AI Frontiers & A Hacker Night: An Evening with Databricks, Anthropic, Timescale, Patronus & Weaviate",2025-04-29T20:00:00.000Z,,0,"Sanice Embleton, Jonny Nirenberg, Adam Chan, Anthropic Events, Drew Parten",https://lu.ma/3ifarjri
NachoTuesday: SaaS & AI Founder + Investor Happy Hour @ NYC Rooftop,2025-04-29T21:00:00.000Z,,354,"Andy Karuza, Sanjay Goel, Dan Taylor, Andres Muñoz, Ian Garrett",https://lu.ma/drpg8n05
Little Bar Mocktail Happy Hour,2025-04-29T22:00:00.000Z,"Little Bar, 1401 Hudson St, Hoboken, NJ 07030, USA",21,Annie Ferro,https://lu.ma/3kwpdk50
Open House: An Arts & Faith Series,2025-04-29T22:00:00.000Z,"Fabrik NYC, 12-16 Vestry St 4th Floor, New York, NY 10013, USA",70,Ravahn Rodriguez,https://lu.ma/yurjsrgl
Women Engineers Rising: Navigating the Workplace,2025-04-29T22:00:00.000Z,,0,"Shweta S, Christine Hong, Laura Hamilton",https://lu.ma/p52twvr6
NYC Founders Brew Mixer,2025-04-29T22:30:00.000Z,,0,"Chandiran, Daivik Goel, Lisa Mengotto",https://lu.ma/xogrqsks
book•ish report: a *new visions* book club powerpoint party,2025-04-29T23:00:00.000Z,"Black Gotham Experience, 192 Front St, New York, NY 10038, USA",33,"boonoonoonoos & co, syntax",https://lu.ma/qgwkt440
Making a Meet Cute: Offline Dating Strategies from Experts,2025-04-29T23:00:00.000Z,"Fabrik DUMBO, 20 Jay St Suite 218, Brooklyn, NY 11201, USA",100,"Met Through Friends, Stevie Bowen, Beyond Nice",https://lu.ma/73yxuefw
Bitcoin Meets Life Insurance: Meanwhile at PubKey,2025-04-30T21:00:00.000Z,"Pubkey, 85 Washington Pl, New York, NY 10011, USA",69,"Jason Leibowitz, Joseph Chu, Jim Cristallo",https://lu.ma/7mcxb6pi
Farcon builder pizza hang! 🍕 (Neynar x USV),2025-04-30T21:00:00.000Z,,169,"rish, Union Square Ventures",https://lu.ma/bxomr102
Hack Night at Microsoft!,2025-04-30T22:00:00.000Z,"Eleven Times Square, 640 8th Ave, New York, NY 10036, USA",225,"Adam Chan, Weaviate",https://lu.ma/msft-hack-night-04-30-2025
The Business of Orbital Data Centers & AI by Axiom Space in collaboration with AWS,2025-04-30T22:00:00.000Z,"Amazon JFK14, 7 W 34th St., New York, NY 10001, USA",128,"Mina Salib, Evan Lerner",https://lu.ma/mu697fey
creativity as resistance: exploring radical queer futures,2025-04-30T22:30:00.000Z,"The Bush, 333 Troutman St Store 4, Brooklyn, NY 11237, USA",63,"queering existentialism, Kally 🪐, Avery, Aisha, Bella",https://lu.ma/hidph5v0
Cadence X BRCo. Community Run,2025-04-30T23:00:00.000Z,"Brooklyn Running Company, 222 Grand St, Brooklyn, NY 11211, USA",96,Brooklyn Running Co.,https://lu.ma/wlv7k22l
Onchain Creator House: NYC,2025-05-01T13:00:00.000Z,"Williamsburg, Brooklyn, NY, USA",161,"Humpty Calderon, Sanaz L.",https://lu.ma/wuimwbay
Haus of Nouns – NYC – 1,2025-05-01T14:00:00.000Z,"Williamsburg, Brooklyn, NY, USA",50,Benjamin Latsko,https://lu.ma/usaxgn2p
FARCON PIZZA PARTY,2025-05-01T22:00:00.000Z,"58 S 6th St, Brooklyn, NY 11249, USA",292,"Irving Ortega, Jean-Pierre Dominguez",https://lu.ma/n1iag82x
From Startup to Scale-up: Evolution of Tech Talent Strategy,2025-05-01T22:00:00.000Z,,0,"Chloe with Twill, Michelle Volberg, Maria Pope",https://lu.ma/hkmsl9zp
NYC AI Demos,2025-05-01T22:30:00.000Z,"The Refinery at Domino, 300 Kent Ave, Brooklyn, NY 11249, USA",137,"Kyle Bhiro, Tech:NYC, Michaella Solar-March",https://lu.ma/szvbtgbq
Consumer Deep Dive with Monad & Farcaster @ Farcon,2025-05-01T23:00:00.000Z,,0,"Monad Foundation, Alix Zerd, Shreyas Hariharan, ted (not lasso)",https://lu.ma/i4q58oo6
BuildHer Brunch NYC,2025-05-02T12:00:00.000Z,,0,"Aneri, Joanie, Base, Ceren M.A.",https://lu.ma/mww8ckn3
CORE x HUWiE x WWV Labs x Fierce Foundry: Female Founder Friday,2025-05-02T15:30:00.000Z,"Columbia University, 116th and Broadway, New York, NY 10027, USA",73,"Lilly Montelle, Daniela Andrade, Angie Hu, Sophia Huh",https://lu.ma/wwrwthpn
Haus of Nouns – NYC – 2,2025-05-02T16:00:00.000Z,"Williamsburg, Brooklyn, NY, USA",38,Benjamin Latsko,https://lu.ma/bzyziiu9
Asian Heritage Launch 2025 | New York City,2025-05-02T21:00:00.000Z,,0,,https://lu.ma/2p31zgsu
Runway Meetup NYC: Sitcom Generations! - Make A Sitcom With AI Tools,2025-05-02T21:00:00.000Z,,87,"Minh Do, Justin Suarez, Ia Robinson",https://lu.ma/2kbp0ogh
Clay Club: Ceramic Vessels,2025-05-03T14:30:00.000Z,"20 Grand Ave, Brooklyn, NY 11205, USA",0,RecCreate Collective,https://lu.ma/t2nc2ko8
May 3 A\N/A Asian Culture Style & Taste - Artistry Showrooms at Spring Place,2025-05-03T15:00:00.000Z,,133,"Asian Creative Foundation, Michelle Collins, Fashion Week Brooklyn",https://lu.ma/warzmebq
Drawing Room Brooklyn Pre-Launch Party (in the park)!,2025-05-03T16:00:00.000Z,"McCarren Park, 776 Lorimer St, Brooklyn, NY 11222, USA",0,"Drawing Room, Adriana Gramly",https://lu.ma/0z0c7pjc
Bloom & Brew,2025-05-03T18:00:00.000Z,"Honey's, 93 Scott Ave, Brooklyn, NY 11237, USA",0,Us Two Tea,https://lu.ma/gk45fo5k
Farcaster Mini App Spotlight | Presented by Seed Club x Monad,2025-05-03T18:00:00.000Z,"Flatiron District, New York, NY, USA",100,"Seed Club, Monad Foundation",https://lu.ma/k6nuezmr
The MOTHER of ALL ART SHOWS!,2025-05-03T18:00:00.000Z,"EDEN STUDIO NYC, 508 W 26th St Studio 5A, New York, NY 10001, USA",65,"Hitomi, kevin kearse",https://lu.ma/iko2wnhl
