name,start_time,timezone,guest_count,address,hosts
World Health Day: Mat to Mindfulness with Flow Grounds,2025-04-07T13:00:00.000Z,America/New_York,0,"Fabrik NYC, 12-16 Vestry St 4th Floor, New York, NY 10013, USA","Derek Kastner- Fabrik Community Director, Pauline Leung"
Cobble Hill: Mysha x Maman Monday,2025-04-07T13:30:00.000Z,America/New_York,14,"maman, 154 Court St, Brooklyn, NY 11201, USA",Mysha
Tech Venture Showcase,2025-04-07T16:30:00.000Z,America/New_York,238,"Columbia Business School, David Geffen Hall, 645 W 130th St, New York, NY 10027, USA",Lang Center
Gen AI Built on Bedrock NYC,2025-04-07T21:00:00.000Z,America/New_York,250,"Amazon JFK27 - Hank, 12 W 39th St, New York, NY 10018, USA",Nate Repensky
Unicorner Presents: NYC Seed+ Founder Dinner,2025-04-07T22:00:00.000Z,America/New_York,0,,"Unicorner Team, Charlie Stephens"
NYC B2B: Pre-Seed + Seed Founders & Investors Meetup,2025-04-07T22:30:00.000Z,America/New_York,279,,Manan Modi
"Variant Builder Day: Protocol Security with Blockaid, Anchorage & Spearbit",2025-04-08T21:30:00.000Z,America/New_York,0,,"Variant, Alana Levin"
AI & The Culture,2025-04-08T22:00:00.000Z,America/New_York,47,"Dow Jones & Co Inc, 1211 6th Ave, New York, NY 10036, USA","Willonius, Shirley Williams"
Scaling Engineering Organizations,2025-04-08T22:00:00.000Z,America/New_York,246,"4 World Trade Center, 150 Greenwich St, New York, NY 10007, USA","Benjamin You, Mykola Kurutin, Siri Kostanyan"
DeSciNYC: The Internet Of Dongs Project,2025-04-08T22:30:00.000Z,America/New_York,0,,Michael Fischer
make a self care button bouquet :),2025-04-08T22:30:00.000Z,America/New_York,7,"Lion's Milk, 104 Roebling St, Brooklyn, NY 11211, USA","art gurl, Alyssa Chin"
Mindful Evenings ✨,2025-04-08T22:30:00.000Z,America/New_York,30,"Fabrik DUMBO, 20 Jay St Suite 218, Brooklyn, NY 11201, USA","Shoko Tagaya, Indra Klavins"
Connections & Capital NYC Meetup by Fortress & Next Layer Capital,2025-04-08T23:00:00.000Z,America/New_York,373,"Pubkey, 85 Washington Pl, New York, NY 10011, USA","Fortress, Brandon Turp, Next Layer Capital, Tucker Kennedy"
How to Make More Money: A Practical Guide for Freelancers & Small Business Owners,2025-04-08T23:00:00.000Z,America/New_York,50,"Index, 120 Walker St 3rd Floor, New York, NY 10013, USA",Index
Opportunities in the Next Evolution of the Domain Name System,2025-04-09T21:00:00.000Z,America/New_York,47,"Civic Hall, 124 E 14th St, New York, NY 10003, USA",Civic Hall
ArtificialRuby.ai NYC Meetup,2025-04-09T22:00:00.000Z,America/New_York,0,"Betaworks, 29 Little W 12th St, New York, NY 10014, USA","Rachel Price Sitman, Scott Werner, Betaworks"
"Book Talk with Investor, Professor, and Author Jeff Bussgang in Conversation with Bloomberg Journalist Walter Frick",2025-04-09T22:00:00.000Z,America/New_York,334,"Lowenstein Sandler LLP, 1251 Avenue of the Americas, New York, NY 10020, USA","Cherae Robinson, Jessica Buss"
"Navigating the new design environment with Catt Small, Rachel Hsiung, and Jibran Kutik (Fundraiser)",2025-04-09T22:00:00.000Z,America/New_York,0,"Etsy, 117 Adams St, Brooklyn, NY 11201, USA",Designer Friends
NYC 🗽 GenAI Companies Building in NYC (Hosted by The AI Furnace),2025-04-09T22:00:00.000Z,America/New_York,189,,"Angela Mascarenas (The AI Furnace 🧨🔥), Heidi Kim, Jeffrey Hang, Hamza Zaveri (The AI Furnace)"
StoryTell x Queering Existentialism 4/9: Radical Acceptance,2025-04-09T22:30:00.000Z,America/New_York,23,,"StoryTell, queering existentialism, Chris Bullard"
Color in Flow: Freeform,2025-04-09T23:00:00.000Z,America/New_York,0,"Drawing Room, 247 W 30th St # 9R, New York, NY 10001, USA","Drawing Room, Meiying"
Pitch and Run 730am Thursday Early Bird,2025-04-10T11:30:00.000Z,America/New_York,362,"Le Pain Quotidien, 395 S End Ave, New York, NY 10280, USA","Kevin Weatherman, Chaitenya Razdan"
🥯+🤖 AI Bagels Biotech Edition (with Bits in Bio and Dimension),2025-04-10T13:00:00.000Z,America/New_York,52,,"Jacob Portes, Reha Mathur, Matt Stergiou"
Entrepreneurship in the Era of GLP-1s and Food as Medicine,2025-04-10T22:00:00.000Z,America/New_York,146,"Columbia Business School, David Geffen Hall, 645 W 130th St, New York, NY 10027, USA",Kosha Rakholia
"""Finding PMF in the Age of AI"" with Jeff Bussgang (Flybridge Capital Partners)",2025-04-10T22:00:00.000Z,America/New_York,160,,"Andrew Yeung, Jeff Bussgang, Verci"
Fun (SPC Demo Night),2025-04-10T22:00:00.000Z,America/New_York,0,,"South Park Commons, Gopal Raman"
Symbol XO - Traditional Dating,2025-04-10T22:00:00.000Z,America/New_York,37,"Sugar mouse, 47 3rd Ave, New York, NY 10003, USA","William Li, Janice"
Tech Pickleball NYC,2025-04-11T11:30:00.000Z,America/New_York,1118,"McCarren Park Tennis Courts, 50 Bedford Ave, Brooklyn, NY 11222, USA","John DiLoreto, Skyler Birk-Stachon, Optemization"
Pitch and Run Friday - The Original PNR,2025-04-11T12:55:00.000Z,America/New_York,269,"Bluestone Lane Chelsea Piers Café, 62 Chelsea Piers Pier 62, New York, NY 10011, USA",Kevin Weatherman
MCP Research & Discussion Night,2025-04-11T21:30:00.000Z,America/New_York,72,,"Neel Baronia, Apurva Chitnis, Amelia Steinmetz"
Founders Night at Seven24 Collective,2025-04-11T22:00:00.000Z,America/New_York,89,"Seven24 Collective - Meatpacking NYC, 362 W 13th St, New York, NY 10014, USA","Remington Davenport, Ali"
Charm Meet,2025-04-11T23:30:00.000Z,America/New_York,0,"Drawing Room, 247 W 30th St # 9R, New York, NY 10001, USA","Drawing Room, Erin O’Connor"
L&L Monthly Classic Vol. 3,2025-04-12T00:00:00.000Z,America/New_York,11,"Cary Leeds Center for Tennis & Learning, 1720 Crotona Ave, Bronx, NY 10457, USA","Khari, Michael "
mo.na. x coach 🌟☁️,2025-04-12T17:00:00.000Z,America/New_York,32,"Bloomingdale's, 1000 Third Avenue, 59th Street and, Lexington Ave, New York, NY 10022, USA",Mecca McDonald
Bloom in Color: Paint pot + Plant buddy,2025-04-12T18:00:00.000Z,America/New_York,12,"117 Grattan St, Brooklyn, NY 11237, USA",Mojo HQ
Let's Go Climbing (Bouldering Class),2025-04-12T18:00:00.000Z,America/New_York,17,"Bouldering Project - Gowanus, 575 Degraw St, Brooklyn, NY 11217, USA","Sahara Moné, anah"
Index Open Studio Hours,2025-04-13T16:00:00.000Z,America/New_York,16,"Index, 120 Walker St 3rd Floor, New York, NY 10013, USA",Index
Saving Grace: A Play,2025-04-13T19:00:00.000Z,America/New_York,20,"Greenpoint, Brooklyn, NY, USA",Jenita Richards
南京方言角+泡泡馄饨工作坊,2025-04-13T20:00:00.000Z,America/New_York,20,"Accent Sisters 重音社, 89 5th Ave #702, New York, NY 10002, USA",Accent Accent
Assemblage Creations: Embellish an iPhone Case with Mixed Media Materials,2025-04-14T22:30:00.000Z,America/New_York,8,"119 N 1st St, Brooklyn, NY 11249, USA",craftnook
NYC June Primary Bootcamp Launch Party 🎉,2025-04-14T22:30:00.000Z,America/New_York,55,"Finback Brooklyn, 545 President St, Brooklyn, NY 11215, USA",Sachi Takahashi-Rial
Think Tech: Tools for Meeting Building Decarb Targets,2025-04-15T21:00:00.000Z,America/New_York,0,,Contech Alliance
Creator Economy NYC Mixer & Panel: Talking Creator Tools,2025-04-15T22:30:00.000Z,America/New_York,0,,Brett Dashevsky
Animation Nights New York (ANNY) at The Gutter Spare Room!,2025-04-16T00:00:00.000Z,America/New_York,0,,Animation Nights
NYC Tech Breakfast Club April,2025-04-16T12:00:00.000Z,America/New_York,0,,"Tech Breakfast Club, Ariana Song"
Creative Women Entrepreneurs x Gather: Happy Hour for Women Freelancers,2025-04-16T22:00:00.000Z,America/New_York,48,,"Sam Popp, Rudy Blanco"
La French Tech NYC - Afterwork,2025-04-16T22:00:00.000Z,America/New_York,40,,"Kimiya Shams, Crystelle Desnoyer, Benjamin Fabre, Caroline Faucher Winter, La French Tech New York"
Bookbinding: Signature Stitch,2025-04-16T23:00:00.000Z,America/New_York,0,"Drawing Room, 247 W 30th St # 9R, New York, NY 10001, USA","Drawing Room, Ray Hwang"
Founders Basketball,2025-04-16T23:00:00.000Z,America/New_York,25,"Basketball City, 299 South Street Pier 36, Pier 36 NYC, 299 South St, New York, NY 10002, USA",New Edition
The Carry Takes NYC: Join Us for Our Second Rucking Meetup!,2025-04-17T20:00:00.000Z,America/New_York,15,"Pier 57, 25 11th Ave, New York, NY 10011, USA","Carry Team, Cortney Bigelow, Esther Sedgwick"
Navigating AI in Women's Healthcare: Insights from VC & Founders,2025-04-17T22:00:00.000Z,America/New_York,0,,"Marion - La Creme de la STEM ™, Natalie Neptune, Kosha Rakholia, Derek Kastner- Fabrik Community Director"
UX Engineering Meetup: NYC (April),2025-04-17T22:00:00.000Z,America/New_York,88,"450 W 33rd St fl 11, New York, NY 10001, USA",Claire
105th NY Hardware Meetup @ Viam,2025-04-17T22:30:00.000Z,America/New_York,178,"1900 Broadway, New York, NY 10023, USA","Anthony Dzaba, Paul Vizzio"
Product Builders in Health and Wellness Tech Happy Hour [NYC],2025-04-17T22:30:00.000Z,America/New_York,102,,Haris Jaliawala
Alo Soho: Alo RUNNERs Club,2025-04-19T13:30:00.000Z,America/New_York,0,"Alo, 96 Spring St, New York, NY 10012, USA","Alo Yoga, ceren"
LeRobot Arm Hackathon NYC,2025-04-19T15:00:00.000Z,America/New_York,80,"Betaworks, 29 Little W 12th St, New York, NY 10014, USA","Krish Shah, Nicole Ripka, Krish Mehta, Alex Marley, Brannon Jones, Betaworks, DT"
Easter Potluck Brunch,2025-04-20T17:00:00.000Z,America/New_York,17,"2839 42nd St, Long Island City, NY 11103, USA",Food Joy Club
Flipping the Script On Investors: Reverse Pitches for NY Fintech Week Produced by RevTech Labs,2025-04-21T17:30:00.000Z,America/New_York,69,,"Kasie Jackson, Empire Startups, Shannon Perry, Sarah Yates"
Computer Vision with CNNs,2025-04-21T18:00:00.000Z,America/New_York,12,"1 Pace Plaza, New York, NY 10038, USA","Tejomay Kapadia, Watson Blair, Roshan N Kalpavruksha"
NYC B2B: FinTech Founders & Operators Meetup,2025-04-21T22:30:00.000Z,America/New_York,238,,"Manan Modi, Empire Startups"
Poetry Night in Dreamworld w/ The Poetry Society of New York,2025-04-21T22:30:00.000Z,America/New_York,6,"119 N 1st St, Brooklyn, NY 11249, USA",craftnook
"""Identity in the Age of AI"" Panel",2025-04-22T13:00:00.000Z,America/New_York,0,"Morrison & Foerster LLP, 250 W 55th St, New York, NY 10019, USA","Mat Kaliski, Empire Startups"
For the Firsts: April Meetup,2025-04-22T22:00:00.000Z,America/New_York,0,,Colin Rocker
Startup Lean Coffee,2025-04-23T13:00:00.000Z,America/New_York,60,"Foley Hoag LLP, 1301 6th Ave, New York, NY 10019, USA",Geoff Scott
Fintech Is Femme Leadership Summit 2025,2025-04-23T16:00:00.000Z,America/New_York,0,"The Times Center, 242 W 41st St, New York, NY 10036, USA","Nicole Casperson, Empire Startups"
